"Run","teamC1","teamC1_gs","teamC1_gc","teamC1_di","teamC1_pts","teamD2","teamD2_gs","teamD2_gc","teamD2_di","teamD2_pts","teamA1","teamA1_gs","teamA1_gc","teamA1_di","teamA1_pts","teamB2","teamB2_gs","teamB2_gc","teamB2_di","teamB2_pts","teamB1","teamB1_gs","teamB1_gc","teamB1_di","teamB1_pts","teamA2","teamA2_gs","teamA2_gc","teamA2_di","teamA2_pts","teamD1","teamD1_gs","teamD1_gc","teamD1_di","teamD1_pts","teamC2","teamC2_gs","teamC2_gc","teamC2_di","teamC2_pts","teamE1","teamE1_gs","teamE1_gc","teamE1_di","teamE1_pts","teamF2","teamF2_gs","teamF2_gc","teamF2_di","teamF2_pts","teamG1","teamG1_gs","teamG1_gc","teamG1_di","teamG1_pts","teamH2","teamH2_gs","teamH2_gc","teamH2_di","teamH2_pts","teamF1","teamF1_gs","teamF1_gc","teamF1_di","teamF1_pts","teamE2","teamE2_gs","teamE2_gc","teamE2_di","teamE2_pts","teamH1","teamH1_gs","teamH1_gc","teamH1_di","teamH1_pts","teamG2","teamG2_gs","teamG2_gc","teamG2_di","teamG2_pts"
"50","Peru",5,0,5,9,"Croatia",3,4,-1,4,"Uruguay",10,3,7,7,"Spain",6,5,1,5,"Portugal",6,4,2,5,"Russia",6,4,2,7,"Argentina",6,1,5,9,"France",4,4,0,4,"Brazil",6,3,3,7,"Sweden",5,6,-1,4,"Belgium",7,3,4,6,"Senegal",3,5,-2,4,"Germany",8,4,4,7,"Costa Rica",4,4,0,4,"Poland",7,5,2,9,"England",4,2,2,6
"51","France",8,6,2,6,"Croatia",3,5,-2,4,"Uruguay",8,3,5,7,"Spain",6,3,3,6,"Portugal",9,4,5,9,"Egypt",9,5,4,6,"Argentina",7,2,5,9,"Peru",7,6,1,6,"Brazil",7,2,5,7,"Mexico",5,4,1,6,"Belgium",6,2,4,9,"Poland",2,4,-2,4,"Germany",8,4,4,9,"Switzerland",5,3,2,5,"Colombia",6,3,3,9,"Tunisia",5,5,0,4
"52","France",7,5,2,7,"Nigeria",4,6,-2,4,"Russia",7,5,2,6,"Portugal",4,3,1,6,"Spain",6,1,5,9,"Uruguay",6,6,0,4,"Argentina",9,4,5,7,"Denmark",7,7,0,3,"Switzerland",6,3,3,6,"Mexico",3,5,-2,6,"Belgium",7,2,5,9,"Colombia",6,4,2,5,"Germany",7,4,3,6,"Brazil",7,5,2,4,"Poland",5,4,1,7,"England",4,4,0,6
"53","France",10,3,7,9,"Croatia",4,2,2,6,"Uruguay",8,3,5,9,"Spain",5,2,3,6,"Portugal",5,2,3,6,"Russia",8,6,2,6,"Argentina",7,1,6,9,"Denmark",6,3,3,6,"Brazil",9,4,5,9,"Germany",4,2,2,6,"Belgium",5,2,3,7,"Poland",7,6,1,6,"Mexico",7,3,4,9,"Switzerland",7,7,0,4,"Colombia",8,1,7,9,"Tunisia",4,3,1,5
"54","France",9,1,8,9,"Croatia",5,2,3,5,"Russia",5,4,1,7,"Portugal",6,5,1,6,"Spain",8,2,6,9,"Uruguay",8,6,2,4,"Argentina",6,4,2,7,"Australia",3,6,-3,3,"Brazil",8,2,6,7,"Mexico",6,3,3,7,"Belgium",8,3,5,9,"Poland",7,4,3,4,"Germany",6,3,3,7,"Switzerland",7,3,4,7,"Colombia",6,2,4,9,"England",7,4,3,6
"55","Peru",6,1,5,9,"Croatia",9,4,5,7,"Russia",5,2,3,7,"Spain",6,4,2,7,"Portugal",7,3,4,7,"Uruguay",7,3,4,7,"Argentina",8,5,3,7,"France",4,3,1,6,"Brazil",8,2,6,9,"Mexico",9,10,-1,6,"Belgium",10,2,8,9,"Japan",6,6,0,4,"Germany",11,5,6,9,"Switzerland",5,6,-1,3,"Poland",5,7,-2,7,"Panama",2,6,-4,2
"56","France",9,5,4,7,"Iceland",4,5,-1,4,"Uruguay",7,0,7,9,"Portugal",8,3,5,6,"Spain",6,3,3,9,"Egypt",4,5,-1,4,"Argentina",8,3,5,9,"Denmark",6,4,2,7,"Brazil",8,4,4,7,"South Korea",6,8,-2,4,"Belgium",7,2,5,7,"Poland",6,7,-1,6,"Germany",10,5,5,9,"Costa Rica",6,3,3,7,"Colombia",7,6,1,9,"England",5,2,3,7
"57","Australia",6,5,1,6,"Croatia",5,6,-1,4,"Russia",9,3,6,7,"Spain",6,5,1,5,"Portugal",9,3,6,7,"Uruguay",6,4,2,4,"Argentina",6,2,4,7,"Denmark",4,4,0,6,"Brazil",9,5,4,9,"Germany",9,4,5,6,"Belgium",7,4,3,6,"Colombia",6,3,3,5,"Mexico",6,5,1,7,"Switzerland",6,4,2,6,"Poland",6,6,0,7,"Panama",3,4,-1,4
"58","Peru",6,3,3,7,"Argentina",4,3,1,5,"Russia",9,3,6,9,"Portugal",10,4,6,6,"Spain",7,4,3,9,"Uruguay",7,5,2,6,"Argentina",3,1,2,7,"France",8,4,4,6,"Brazil",8,5,3,5,"Mexico",6,5,1,7,"England",7,1,6,9,"Poland",5,4,1,4,"Germany",5,2,3,7,"Switzerland",4,2,2,5,"Colombia",7,5,2,9,"Belgium",6,4,2,6
"59","France",8,4,4,9,"Croatia",5,4,1,5,"Uruguay",7,4,3,7,"Morocco",3,3,0,6,"Portugal",6,2,4,7,"Russia",6,3,3,6,"Croatia",8,5,3,7,"Denmark",6,6,0,4,"Switzerland",6,2,4,7,"Sweden",8,5,3,6,"Belgium",7,3,4,9,"Poland",4,2,2,6,"Germany",8,4,4,7,"Brazil",5,4,1,4,"Colombia",7,2,5,9,"England",6,5,1,6
"60","France",10,3,7,9,"Croatia",6,4,2,6,"Russia",8,1,7,9,"Spain",6,4,2,5,"Portugal",7,4,3,7,"Uruguay",5,5,0,6,"Argentina",7,4,3,6,"Denmark",5,4,1,4,"Brazil",6,4,2,5,"Mexico",4,3,1,4,"Belgium",8,2,6,7,"Poland",6,7,-1,6,"Germany",7,4,3,7,"Switzerland",6,5,1,5,"Colombia",4,2,2,9,"England",6,4,2,6
"61","France",8,5,3,7,"Croatia",5,4,1,4,"Russia",7,2,5,7,"Spain",7,2,5,7,"Portugal",6,3,3,7,"Saudi Arabia",6,7,-1,4,"Argentina",6,2,4,7,"Denmark",8,8,0,6,"Brazil",5,2,3,7,"Mexico",5,4,1,6,"Belgium",6,1,5,9,"Poland",5,5,0,6,"Germany",9,4,5,9,"Costa Rica",7,4,3,6,"Colombia",7,3,4,9,"Tunisia",4,4,0,4
"62","Peru",8,5,3,9,"Nigeria",4,3,1,6,"Russia",8,5,3,6,"Spain",6,5,1,5,"Portugal",8,3,5,7,"Uruguay",5,6,-1,4,"Argentina",9,4,5,9,"France",7,5,2,6,"Brazil",5,4,1,5,"Sweden",6,7,-1,3,"Belgium",9,2,7,7,"Senegal",3,9,-6,3,"Germany",9,4,5,9,"Switzerland",6,5,1,5,"Poland",6,7,-1,9,"England",5,3,2,7
"63","France",9,3,6,7,"Croatia",3,5,-2,4,"Russia",9,2,7,9,"Spain",5,4,1,5,"Portugal",8,3,5,7,"Egypt",6,4,2,6,"Argentina",9,2,7,9,"Denmark",6,5,1,5,"Brazil",10,2,8,9,"Sweden",7,4,3,6,"England",5,2,3,7,"Senegal",2,5,-3,3,"Germany",6,4,2,6,"Switzerland",5,3,2,6,"Poland",5,5,0,9,"Belgium",6,4,2,6
"64","France",9,2,7,9,"Croatia",2,1,1,6,"Russia",7,4,3,6,"Portugal",7,2,5,6,"Spain",6,2,4,7,"Uruguay",7,4,3,6,"Argentina",7,2,5,7,"Australia",4,8,-4,3,"Switzerland",6,2,4,7,"Germany",5,5,0,6,"Belgium",8,3,5,9,"Poland",4,3,1,6,"Sweden",7,4,3,7,"Brazil",6,4,2,6,"Colombia",5,3,2,9,"England",5,3,2,6
"65","France",7,2,5,7,"Croatia",4,4,0,4,"Russia",5,2,3,6,"Iran",3,4,-1,4,"Portugal",7,1,6,9,"Uruguay",4,4,0,6,"Argentina",6,3,3,7,"Denmark",6,4,2,5,"Brazil",10,1,9,9,"Sweden",5,8,-3,3,"Belgium",10,1,9,9,"Poland",3,5,-2,6,"Germany",10,2,8,9,"Switzerland",5,6,-1,4,"Colombia",6,3,3,7,"England",4,5,-1,4
"66","Peru",8,3,5,7,"Croatia",5,4,1,4,"Uruguay",8,2,6,9,"Spain",3,5,-2,4,"Portugal",9,1,8,9,"Russia",6,3,3,6,"Argentina",7,2,5,9,"France",6,5,1,6,"Brazil",7,4,3,5,"Sweden",3,4,-1,4,"England",8,3,5,9,"Poland",7,5,2,6,"Germany",7,2,5,9,"Switzerland",5,4,1,5,"Colombia",4,3,1,7,"Belgium",7,6,1,4
"67","France",6,4,2,5,"Nigeria",4,5,-1,4,"Uruguay",5,1,4,9,"Morocco",6,7,-1,4,"Portugal",7,3,4,9,"Russia",6,3,3,6,"Argentina",7,2,5,9,"Denmark",6,2,4,5,"Brazil",9,4,5,6,"Mexico",7,7,0,6,"Tunisia",3,2,1,6,"Senegal",4,7,-3,3,"Germany",8,4,4,9,"Costa Rica",6,4,2,6,"Poland",6,7,-1,9,"England",3,2,1,5
"68","Denmark",7,5,2,7,"Argentina",8,6,2,6,"Uruguay",6,2,4,7,"Portugal",5,4,1,6,"Spain",5,1,4,9,"Russia",5,4,1,6,"Croatia",8,3,5,9,"Denmark",6,4,2,6,"Brazil",8,6,2,7,"Germany",8,3,5,5,"Belgium",7,1,6,9,"Poland",6,5,1,6,"Mexico",5,2,3,7,"Switzerland",5,4,1,4,"Colombia",9,4,5,7,"England",5,3,2,6
"69","Peru",7,2,5,9,"Croatia",5,4,1,5,"Russia",6,1,5,9,"Portugal",4,5,-1,6,"Spain",8,1,7,9,"Uruguay",7,3,4,4,"Argentina",6,5,1,5,"France",7,4,3,6,"Brazil",4,3,1,6,"Germany",8,4,4,6,"England",9,2,7,9,"Poland",7,4,3,4,"Mexico",7,6,1,9,"Switzerland",6,3,3,6,"Colombia",7,4,3,9,"Belgium",4,4,0,6
"70","France",7,0,7,9,"Iceland",5,3,2,7,"Russia",9,0,9,9,"Spain",4,2,2,5,"Portugal",7,3,4,7,"Uruguay",6,5,1,6,"Argentina",7,4,3,7,"Australia",6,8,-2,3,"Brazil",8,5,3,9,"Mexico",8,3,5,7,"Belgium",5,2,3,9,"Colombia",6,4,2,5,"Germany",9,2,7,7,"Switzerland",6,5,1,4,"Poland",7,4,3,7,"England",6,4,2,6
"71","Peru",5,3,2,6,"Argentina",7,6,1,6,"Uruguay",8,3,5,7,"Spain",6,3,3,7,"Portugal",7,4,3,7,"Egypt",5,4,1,6,"Croatia",7,3,4,7,"Australia",4,5,-1,4,"Switzerland",5,1,4,9,"Mexico",5,4,1,6,"Belgium",8,3,5,9,"Colombia",6,5,1,5,"Germany",6,3,3,7,"Brazil",3,4,-1,4,"Poland",4,6,-2,7,"Tunisia",5,5,0,4
"72","France",6,3,3,6,"Croatia",3,2,1,5,"Russia",6,2,4,9,"Spain",7,5,2,5,"Portugal",9,3,6,7,"Egypt",7,5,2,6,"Argentina",5,2,3,5,"Denmark",5,3,2,6,"Brazil",6,3,3,9,"Mexico",5,3,2,4,"Belgium",6,2,4,7,"Poland",6,5,1,6,"Germany",9,2,7,9,"Switzerland",4,4,0,4,"Colombia",7,2,5,9,"Tunisia",5,4,1,5
"73","France",6,3,3,7,"Croatia",6,3,3,7,"Russia",8,1,7,7,"Spain",7,4,3,6,"Portugal",10,2,8,9,"Uruguay",6,2,4,7,"Argentina",5,1,4,7,"Peru",3,3,0,4,"Brazil",4,3,1,5,"Mexico",6,4,2,7,"Belgium",7,4,3,7,"Senegal",5,5,0,4,"Germany",10,4,6,7,"Costa Rica",4,2,2,5,"Poland",6,4,2,7,"Tunisia",2,3,-1,4
"74","France",8,4,4,9,"Croatia",6,4,2,5,"Uruguay",9,3,6,7,"Spain",4,4,0,4,"Portugal",6,3,3,7,"Russia",5,5,0,4,"Argentina",5,2,3,7,"Denmark",6,6,0,4,"Switzerland",7,2,5,7,"Sweden",5,6,-1,6,"Belgium",8,3,5,7,"Colombia",6,4,2,5,"Germany",9,5,4,6,"Brazil",8,4,4,6,"Poland",6,7,-1,7,"England",4,2,2,7
"75","France",8,4,4,6,"Argentina",5,4,1,6,"Russia",8,3,5,7,"Spain",5,2,3,4,"Portugal",7,2,5,9,"Uruguay",5,5,0,4,"Croatia",6,2,4,9,"Australia",3,6,-3,4,"Costa Rica",9,5,4,7,"Sweden",5,7,-2,6,"Belgium",7,1,6,9,"Poland",8,1,7,6,"Germany",7,2,5,7,"Brazil",7,5,2,5,"Senegal",5,4,1,9,"England",2,2,0,4
"76","France",6,2,4,7,"Croatia",4,2,2,5,"Russia",6,6,0,6,"Portugal",7,5,2,6,"Spain",6,2,4,7,"Uruguay",8,5,3,6,"Argentina",7,3,4,7,"Peru",5,3,2,6,"Costa Rica",5,5,0,6,"Mexico",6,3,3,6,"Belgium",9,6,3,6,"Poland",8,5,3,6,"Germany",5,1,4,7,"Brazil",8,4,4,5,"Colombia",7,2,5,9,"England",4,3,1,5
"77","France",7,5,2,6,"Nigeria",4,3,1,5,"Uruguay",9,5,4,7,"Portugal",6,2,4,6,"Spain",5,2,3,7,"Russia",8,4,4,6,"Argentina",5,1,4,7,"Peru",6,3,3,6,"Brazil",7,2,5,9,"Mexico",5,6,-1,6,"Belgium",5,3,2,7,"Japan",6,6,0,4,"Germany",9,4,5,6,"Switzerland",5,5,0,3,"Poland",5,7,-2,7,"England",4,3,1,5
"78","France",10,4,6,9,"Argentina",6,3,3,4,"Russia",12,1,11,9,"Spain",5,5,0,6,"Portugal",8,3,5,9,"Uruguay",7,4,3,6,"Croatia",6,2,4,9,"Peru",7,5,2,6,"Brazil",8,4,4,7,"Mexico",3,2,1,6,"England",8,2,6,9,"Senegal",5,5,0,5,"Germany",8,2,6,9,"Switzerland",7,4,3,5,"Poland",4,4,0,5,"Belgium",4,4,0,4
"79","France",8,3,5,9,"Argentina",4,5,-1,4,"Russia",5,1,4,9,"Portugal",7,5,2,6,"Spain",6,2,4,9,"Uruguay",5,3,2,4,"Croatia",4,2,2,5,"Australia",2,7,-5,3,"Brazil",7,5,2,7,"South Korea",4,5,-1,4,"Belgium",7,3,4,9,"Senegal",5,5,0,4,"Germany",11,4,7,9,"Costa Rica",6,5,1,6,"Poland",7,4,3,7,"Panama",3,4,-1,3
"80","France",9,4,5,7,"Nigeria",2,3,-1,4,"Uruguay",9,3,6,9,"Spain",9,6,3,4,"Portugal",10,5,5,9,"Russia",6,3,3,6,"Argentina",5,3,2,5,"Peru",7,5,2,5,"Brazil",11,1,10,9,"Sweden",5,4,1,6,"Belgium",9,4,5,9,"Poland",6,5,1,6,"Germany",9,5,4,7,"Switzerland",5,6,-1,6,"Colombia",6,3,3,9,"England",6,5,1,6
"81","France",8,3,5,7,"Nigeria",5,5,0,6,"Uruguay",9,4,5,9,"Spain",4,2,2,6,"Portugal",8,3,5,9,"Russia",8,4,4,6,"Argentina",9,5,4,7,"Australia",5,6,-1,4,"Brazil",9,3,6,9,"Sweden",4,5,-1,6,"Belgium",8,3,5,9,"Poland",5,4,1,4,"Germany",7,2,5,9,"Costa Rica",6,5,1,4,"Colombia",6,2,4,5,"England",4,4,0,4
"82","Peru",6,3,3,6,"Nigeria",3,4,-1,4,"Uruguay",9,3,6,6,"Spain",3,3,0,3,"Portugal",4,3,1,5,"Egypt",8,6,2,6,"Argentina",6,3,3,4,"Denmark",5,4,1,5,"Brazil",6,3,3,6,"Mexico",6,6,0,5,"Belgium",9,2,7,9,"Poland",4,5,-1,4,"Germany",9,4,5,7,"Switzerland",5,4,1,6,"Colombia",8,1,7,9,"England",6,3,3,6
"83","France",8,4,4,9,"Argentina",6,4,2,6,"Uruguay",9,3,6,9,"Portugal",6,1,5,7,"Spain",7,2,5,7,"Russia",7,3,4,6,"Croatia",5,3,2,7,"Peru",6,5,1,4,"Switzerland",7,5,2,7,"Mexico",6,7,-1,6,"England",6,2,4,7,"Poland",8,6,2,6,"Germany",8,5,3,6,"Brazil",5,3,2,6,"Colombia",7,7,0,9,"Belgium",6,2,4,6
"84","France",10,4,6,7,"Argentina",6,4,2,6,"Russia",6,4,2,6,"Portugal",5,6,-1,4,"Spain",12,3,9,9,"Uruguay",7,4,3,5,"Croatia",6,3,3,9,"Peru",6,6,0,4,"Serbia",7,1,6,9,"Sweden",5,4,1,6,"Belgium",8,0,8,9,"Japan",3,5,-2,4,"Germany",4,2,2,6,"Brazil",7,4,3,6,"Poland",5,4,1,7,"England",4,4,0,6
"85","France",9,1,8,9,"Nigeria",4,3,1,5,"Russia",10,2,8,9,"Spain",5,3,2,4,"Portugal",5,6,-1,4,"Uruguay",5,5,0,4,"Argentina",7,3,4,7,"Peru",4,2,2,6,"Brazil",5,4,1,6,"Mexico",4,5,-1,6,"Belgium",7,3,4,9,"Poland",4,6,-2,4,"Germany",8,2,6,9,"Switzerland",7,5,2,5,"Colombia",3,5,-2,7,"England",4,2,2,6
"86","France",8,4,4,9,"Croatia",3,2,1,4,"Uruguay",9,2,7,9,"Portugal",7,4,3,7,"Spain",10,5,5,7,"Egypt",7,5,2,4,"Argentina",5,1,4,7,"Australia",4,5,-1,4,"Brazil",9,2,7,9,"Mexico",5,2,3,7,"Belgium",9,4,5,7,"Poland",6,5,1,6,"Germany",9,3,6,7,"Costa Rica",6,6,0,6,"Colombia",10,4,6,9,"Tunisia",4,5,-1,4
"87","France",9,3,6,7,"Argentina",7,4,3,6,"Egypt",4,1,3,7,"Spain",4,3,1,4,"Portugal",8,4,4,9,"Uruguay",8,3,5,6,"Croatia",6,3,3,7,"Denmark",5,5,0,6,"Brazil",8,5,3,7,"South Korea",5,4,1,5,"Belgium",9,2,7,9,"Senegal",4,8,-4,6,"Germany",6,5,1,5,"Serbia",6,6,0,4,"Poland",5,6,-1,9,"England",2,3,-1,4
"88","France",8,4,4,7,"Argentina",4,3,1,6,"Russia",9,3,6,7,"Portugal",7,4,3,6,"Spain",7,4,3,7,"Uruguay",8,5,3,4,"Croatia",7,4,3,7,"Australia",5,4,1,4,"Brazil",6,2,4,7,"Sweden",7,8,-1,4,"England",7,3,4,9,"Poland",2,7,-5,3,"Germany",11,5,6,9,"Switzerland",4,4,0,4,"Colombia",6,2,4,9,"Tunisia",6,4,2,6
"89","France",8,4,4,7,"Croatia",6,4,2,6,"Russia",11,3,8,9,"Spain",8,4,4,7,"Portugal",7,4,3,7,"Uruguay",7,7,0,4,"Argentina",8,4,4,6,"Denmark",6,5,1,5,"Brazil",7,1,6,9,"Sweden",4,5,-1,4,"Belgium",6,2,4,6,"Poland",9,7,2,6,"Germany",9,4,5,7,"Switzerland",6,2,4,6,"Colombia",7,5,2,9,"Tunisia",4,3,1,5
"90","Denmark",8,5,3,5,"Argentina",5,4,1,4,"Uruguay",7,2,5,7,"Morocco",3,6,-3,4,"Portugal",7,1,6,7,"Egypt",4,4,0,4,"Croatia",7,6,1,6,"France",7,6,1,5,"Brazil",9,3,6,9,"Mexico",3,4,-1,4,"Belgium",9,4,5,7,"Senegal",3,5,-2,4,"Germany",8,2,6,6,"Costa Rica",6,6,0,6,"Poland",8,3,5,7,"England",4,3,1,5
"91","France",5,4,1,5,"Argentina",4,3,1,6,"Russia",8,3,5,9,"Spain",5,3,2,6,"Portugal",7,3,4,6,"Uruguay",8,6,2,6,"Croatia",7,3,4,9,"Peru",3,2,1,5,"Switzerland",10,5,5,9,"Mexico",5,4,1,5,"England",8,2,6,7,"Poland",6,5,1,6,"Germany",8,1,7,7,"Brazil",7,5,2,6,"Colombia",5,2,3,9,"Belgium",4,3,1,5
"92","France",11,3,8,9,"Croatia",5,2,3,6,"Uruguay",6,2,4,7,"Portugal",5,3,2,6,"Spain",7,2,5,9,"Egypt",5,1,4,7,"Argentina",6,5,1,6,"Peru",4,5,-1,4,"Switzerland",6,1,5,9,"Sweden",5,3,2,6,"England",8,3,5,7,"Colombia",3,4,-1,3,"Germany",7,6,1,6,"Brazil",6,6,0,6,"Poland",6,4,2,7,"Belgium",5,4,1,5
"93","Peru",9,4,5,9,"Iceland",3,3,0,4,"Russia",10,3,7,9,"Spain",6,2,4,7,"Portugal",8,3,5,7,"Uruguay",5,4,1,6,"Argentina",6,1,5,9,"France",6,4,2,6,"Brazil",8,2,6,9,"Germany",7,5,2,6,"England",8,2,6,9,"Colombia",6,4,2,5,"Mexico",8,5,3,9,"Switzerland",5,4,1,4,"Poland",2,4,-2,5,"Belgium",6,4,2,4
"94","France",9,3,6,7,"Croatia",6,4,2,6,"Russia",8,4,4,7,"Iran",4,7,-3,4,"Portugal",9,3,6,9,"Uruguay",7,3,4,7,"Argentina",8,3,5,9,"Peru",4,3,1,4,"Brazil",9,1,8,7,"Sweden",4,3,1,6,"England",9,4,5,9,"Senegal",3,5,-2,3,"Germany",7,4,3,6,"Switzerland",5,4,1,5,"Poland",5,6,-1,9,"Belgium",5,4,1,4
"95","France",7,4,3,7,"Croatia",4,2,2,5,"Uruguay",7,3,4,7,"Portugal",7,5,2,6,"Spain",5,3,2,7,"Egypt",6,5,1,4,"Croatia",3,2,1,6,"Peru",6,4,2,7,"Brazil",8,4,4,7,"Mexico",6,4,2,6,"England",5,1,4,7,"Senegal",7,4,3,6,"Germany",8,3,5,7,"Costa Rica",4,4,0,6,"Colombia",7,5,2,7,"Belgium",6,4,2,6
"96","France",6,2,4,9,"Croatia",4,3,1,5,"Russia",11,2,9,9,"Spain",6,4,2,5,"Portugal",9,5,4,6,"Uruguay",6,5,1,4,"Argentina",6,3,3,5,"Peru",6,5,1,6,"Brazil",7,2,5,9,"Sweden",3,2,1,6,"Belgium",6,2,4,7,"Poland",7,4,3,6,"Germany",7,4,3,6,"Costa Rica",7,6,1,6,"Senegal",5,3,2,7,"England",3,3,0,4
"97","France",9,3,6,7,"Iceland",3,3,0,4,"Russia",6,3,3,9,"Morocco",5,5,0,4,"Spain",5,2,3,9,"Uruguay",4,3,1,6,"Argentina",6,2,4,9,"Peru",6,5,1,4,"Switzerland",9,3,6,9,"Sweden",5,6,-1,4,"Belgium",6,3,3,7,"Poland",8,6,2,6,"Germany",10,3,7,7,"Brazil",6,2,4,6,"Colombia",4,5,-1,7,"England",6,5,1,6
"98","France",9,3,6,9,"Croatia",4,3,1,5,"Russia",6,1,5,9,"Iran",4,3,1,4,"Spain",5,2,3,7,"Uruguay",6,4,2,3,"Argentina",6,4,2,5,"Denmark",5,4,1,6,"Brazil",7,3,4,9,"Mexico",8,9,-1,7,"England",4,0,4,9,"Poland",3,6,-3,6,"Germany",9,6,3,7,"Serbia",5,4,1,4,"Colombia",5,3,2,7,"Belgium",6,1,5,6
"99","France",5,2,3,6,"Croatia",6,4,2,6,"Russia",8,1,7,7,"Iran",4,4,0,4,"Spain",8,3,5,7,"Uruguay",4,3,1,4,"Argentina",8,4,4,6,"Denmark",5,3,2,6,"Switzerland",8,4,4,9,"Mexico",7,5,2,6,"England",7,3,4,9,"Senegal",5,3,2,5,"Germany",8,4,4,9,"Brazil",5,6,-1,3,"Poland",8,2,6,5,"Tunisia",4,4,0,4
"100","Denmark",7,2,5,9,"Croatia",4,3,1,4,"Uruguay",9,4,5,9,"Spain",7,2,5,7,"Portugal",7,2,5,7,"Russia",8,3,5,6,"Argentina",5,4,1,6,"France",7,6,1,6,"Brazil",9,5,4,7,"Sweden",6,4,2,6,"Tunisia",3,2,1,5,"Poland",6,6,0,6,"Germany",8,3,5,6,"Costa Rica",6,4,2,6,"Colombia",7,3,4,7,"England",4,3,1,5
"101","France",9,3,6,7,"Croatia",6,5,1,6,"Uruguay",7,4,3,7,"Spain",5,4,1,6,"Portugal",8,3,5,6,"Russia",7,3,4,6,"Argentina",5,6,-1,6,"Peru",7,5,2,5,"Brazil",8,3,5,7,"Mexico",7,6,1,6,"Belgium",9,1,8,9,"Poland",5,2,3,4,"Germany",9,2,7,9,"Serbia",5,6,-1,4,"Colombia",9,3,6,9,"England",6,6,0,6
