"Run","teamC1","teamC1_gs","teamC1_gc","teamC1_di","teamC1_pts","teamD2","teamD2_gs","teamD2_gc","teamD2_di","teamD2_pts","teamA1","teamA1_gs","teamA1_gc","teamA1_di","teamA1_pts","teamB2","teamB2_gs","teamB2_gc","teamB2_di","teamB2_pts","teamB1","teamB1_gs","teamB1_gc","teamB1_di","teamB1_pts","teamA2","teamA2_gs","teamA2_gc","teamA2_di","teamA2_pts","teamD1","teamD1_gs","teamD1_gc","teamD1_di","teamD1_pts","teamC2","teamC2_gs","teamC2_gc","teamC2_di","teamC2_pts","teamE1","teamE1_gs","teamE1_gc","teamE1_di","teamE1_pts","teamF2","teamF2_gs","teamF2_gc","teamF2_di","teamF2_pts","teamG1","teamG1_gs","teamG1_gc","teamG1_di","teamG1_pts","teamH2","teamH2_gs","teamH2_gc","teamH2_di","teamH2_pts","teamF1","teamF1_gs","teamF1_gc","teamF1_di","teamF1_pts","teamE2","teamE2_gs","teamE2_gc","teamE2_di","teamE2_pts","teamH1","teamH1_gs","teamH1_gc","teamH1_di","teamH1_pts","teamG2","teamG2_gs","teamG2_gc","teamG2_di","teamG2_pts"
"102","France",8,5,3,7,"Croatia",3,2,1,4,"Uruguay",8,3,5,7,"Spain",3,2,1,6,"Portugal",7,1,6,9,"Russia",9,2,7,6,"Argentina",8,2,6,7,"Denmark",5,3,2,4,"Brazil",9,3,6,7,"Sweden",6,7,-1,4,"England",7,2,5,9,"Colombia",5,3,2,5,"Germany",11,3,8,9,"Costa Rica",6,4,2,5,"Poland",8,5,3,7,"Belgium",6,3,3,6
"103","Peru",6,1,5,7,"Croatia",4,4,0,4,"Russia",6,1,5,9,"Portugal",5,2,3,5,"Spain",5,2,3,7,"Egypt",4,3,1,6,"Argentina",7,3,4,7,"France",6,5,1,6,"Brazil",12,2,10,9,"Sweden",5,5,0,4,"Belgium",8,3,5,7,"Senegal",5,2,3,6,"Germany",6,3,3,5,"Switzerland",3,7,-4,2,"Poland",7,2,5,9,"England",5,4,1,4
"104","Peru",9,5,4,7,"Croatia",10,4,6,6,"Russia",8,1,7,9,"Morocco",6,5,1,6,"Portugal",8,3,5,9,"Uruguay",7,4,3,6,"Argentina",9,5,4,9,"Denmark",8,7,1,5,"Brazil",8,4,4,9,"Sweden",5,2,3,5,"England",9,3,6,9,"Senegal",6,5,1,5,"Germany",9,3,6,7,"Serbia",5,5,0,6,"Poland",9,4,5,5,"Belgium",9,3,6,6
"105","France",7,3,4,5,"Iceland",3,3,0,6,"Russia",8,4,4,7,"Spain",6,5,1,4,"Portugal",9,3,6,7,"Uruguay",10,5,5,5,"Argentina",8,2,6,7,"Australia",4,7,-3,4,"Brazil",8,2,6,7,"Mexico",7,4,3,6,"Belgium",9,2,7,7,"Colombia",8,3,5,5,"Germany",8,3,5,9,"Switzerland",7,3,4,7,"Poland",6,5,1,7,"England",3,3,0,4
"106","France",6,5,1,5,"Argentina",4,3,1,6,"Uruguay",7,3,4,9,"Iran",3,3,0,6,"Portugal",8,4,4,7,"Russia",6,5,1,4,"Croatia",5,2,3,7,"Peru",6,5,1,5,"Brazil",8,2,6,9,"Mexico",7,6,1,4,"England",4,3,1,6,"Poland",6,4,2,4,"Germany",8,2,6,9,"Costa Rica",3,2,1,6,"Colombia",5,5,0,7,"Tunisia",4,3,1,5
"107","France",7,2,5,7,"Iceland",5,2,3,6,"Russia",10,3,7,9,"Spain",8,6,2,6,"Portugal",7,5,2,6,"Uruguay",7,5,2,4,"Argentina",8,4,4,9,"Denmark",4,4,0,4,"Costa Rica",5,4,1,6,"Mexico",6,6,0,5,"England",6,2,4,7,"Poland",3,6,-3,6,"Germany",9,5,4,7,"Brazil",7,5,2,5,"Colombia",7,5,2,9,"Belgium",5,4,1,6
"108","France",8,3,5,7,"Iceland",3,1,2,6,"Uruguay",6,1,5,7,"Spain",7,4,3,5,"Portugal",5,4,1,5,"Russia",5,2,3,7,"Argentina",6,2,4,6,"Peru",5,3,2,7,"Brazil",5,2,3,6,"Germany",6,5,1,6,"Belgium",9,3,6,7,"Poland",6,6,0,6,"Mexico",7,6,1,7,"Switzerland",5,3,2,6,"Colombia",8,4,4,9,"England",4,6,-2,4
"109","Peru",8,3,5,9,"Croatia",6,4,2,5,"Russia",6,4,2,7,"Spain",7,5,2,5,"Portugal",7,3,4,6,"Uruguay",6,5,1,7,"Argentina",10,4,6,7,"France",8,6,2,6,"Switzerland",7,2,5,9,"Mexico",5,7,-2,4,"Belgium",8,1,7,9,"Senegal",4,6,-2,6,"Germany",11,5,6,9,"Brazil",5,5,0,4,"Poland",5,4,1,9,"England",4,5,-1,4
"110","France",5,2,3,7,"Iceland",4,1,3,6,"Uruguay",7,2,5,9,"Spain",6,4,2,5,"Portugal",7,3,4,6,"Russia",7,3,4,6,"Argentina",7,3,4,7,"Denmark",6,2,4,5,"Switzerland",9,4,5,9,"Mexico",5,4,1,5,"Panama",3,2,1,5,"Senegal",1,6,-5,3,"Germany",5,1,4,7,"Brazil",7,6,1,4,"Poland",3,5,-2,9,"England",5,3,2,5
"111","France",6,3,3,5,"Croatia",5,5,0,4,"Russia",7,2,5,7,"Spain",7,5,2,7,"Portugal",6,2,4,7,"Uruguay",6,2,4,7,"Argentina",8,3,5,7,"Peru",3,2,1,5,"Switzerland",6,3,3,7,"Sweden",6,4,2,6,"England",9,2,7,9,"Colombia",7,5,2,5,"Germany",9,3,6,6,"Brazil",8,4,4,6,"Poland",4,9,-5,7,"Belgium",4,4,0,6
"112","Denmark",6,5,1,6,"Croatia",5,3,2,5,"Uruguay",7,5,2,7,"Portugal",7,2,5,6,"Spain",6,1,5,9,"Russia",9,3,6,6,"Argentina",8,2,6,7,"France",4,6,-2,4,"Brazil",7,3,4,6,"Sweden",7,6,1,4,"Belgium",7,2,5,7,"Colombia",6,2,4,5,"Germany",9,4,5,9,"Switzerland",6,5,1,5,"Poland",5,6,-1,7,"Tunisia",2,3,-1,4
"113","France",6,4,2,6,"Iceland",3,4,-1,6,"Russia",5,1,4,9,"Portugal",8,4,4,6,"Spain",8,6,2,7,"Uruguay",6,3,3,4,"Argentina",8,2,6,9,"Peru",5,3,2,5,"Brazil",9,3,6,9,"Germany",8,5,3,6,"Tunisia",6,4,2,6,"Poland",6,4,2,6,"Mexico",7,6,1,7,"Switzerland",5,4,1,4,"Colombia",6,6,0,9,"England",6,3,3,6
"114","Denmark",7,4,3,7,"Iceland",5,5,0,6,"Uruguay",6,3,3,7,"Portugal",6,5,1,4,"Spain",5,3,2,6,"Russia",7,4,3,5,"Argentina",8,4,4,7,"France",7,3,4,6,"Brazil",9,4,5,7,"Mexico",6,5,1,7,"Belgium",8,1,7,9,"Colombia",4,4,0,5,"Germany",9,3,6,7,"Switzerland",7,5,2,6,"Poland",5,8,-3,7,"England",4,4,0,4
"115","Denmark",5,3,2,7,"Croatia",5,4,1,6,"Uruguay",9,3,6,7,"Iran",7,3,4,7,"Spain",6,4,2,7,"Russia",6,3,3,7,"Argentina",7,0,7,9,"France",6,6,0,4,"Brazil",7,4,3,7,"Mexico",4,5,-1,6,"Belgium",7,4,3,6,"Poland",7,5,2,6,"Germany",9,6,3,6,"Costa Rica",7,4,3,7,"Colombia",8,2,6,9,"England",5,4,1,6
"116","France",8,3,5,7,"Argentina",7,4,3,6,"Russia",11,1,10,9,"Spain",5,4,1,6,"Portugal",10,2,8,9,"Uruguay",4,3,1,6,"Croatia",7,3,4,7,"Denmark",6,5,1,5,"Switzerland",8,5,3,9,"Germany",5,3,2,5,"Belgium",7,3,4,7,"Poland",2,4,-2,4,"Mexico",8,5,3,7,"Brazil",8,5,3,6,"Colombia",4,1,3,9,"Tunisia",2,3,-1,4
"117","Denmark",6,3,3,9,"Iceland",4,4,0,6,"Uruguay",7,1,6,9,"Portugal",7,5,2,6,"Spain",8,4,4,9,"Russia",6,3,3,6,"Argentina",8,2,6,9,"France",5,5,0,4,"Brazil",6,3,3,6,"Sweden",7,5,2,5,"Tunisia",5,4,1,6,"Senegal",7,4,3,6,"Mexico",5,6,-1,6,"Switzerland",6,3,3,6,"Poland",6,3,3,9,"England",7,4,3,6
"118","France",7,3,4,5,"Iceland",4,2,2,6,"Uruguay",7,2,5,7,"Portugal",6,2,4,6,"Spain",8,2,6,9,"Russia",10,3,7,6,"Argentina",8,3,5,9,"Peru",4,2,2,5,"Brazil",7,2,5,6,"Mexico",7,5,2,7,"Belgium",6,3,3,7,"Senegal",3,9,-6,3,"Germany",5,1,4,7,"Switzerland",3,2,1,6,"Poland",4,7,-3,9,"England",4,4,0,4
"119","Denmark",7,3,4,7,"Iceland",3,4,-1,4,"Uruguay",8,4,4,7,"Spain",6,5,1,4,"Portugal",8,4,4,7,"Egypt",6,5,1,6,"Argentina",9,4,5,7,"France",6,3,3,6,"Switzerland",8,5,3,6,"Sweden",4,4,0,3,"England",5,2,3,7,"Colombia",7,4,3,5,"Germany",5,2,3,9,"Costa Rica",4,5,-1,4,"Poland",5,6,-1,7,"Belgium",6,3,3,6
"120","Denmark",8,3,5,9,"Nigeria",4,6,-2,6,"Uruguay",8,3,5,7,"Spain",6,2,4,5,"Portugal",6,3,3,5,"Russia",7,4,3,7,"Argentina",9,3,6,6,"France",8,3,5,6,"Switzerland",6,4,2,6,"Sweden",8,6,2,6,"Belgium",7,4,3,6,"Colombia",4,3,1,5,"Germany",8,3,5,9,"Costa Rica",5,5,0,4,"Poland",6,4,2,5,"England",7,5,2,6
"121","Denmark",8,4,4,9,"Nigeria",4,5,-1,4,"Uruguay",6,5,1,6,"Spain",6,3,3,7,"Portugal",8,2,6,7,"Egypt",6,4,2,5,"Argentina",8,2,6,9,"France",8,6,2,6,"Brazil",7,4,3,5,"Sweden",5,4,1,6,"Belgium",7,3,4,9,"Senegal",5,4,1,5,"Germany",11,4,7,9,"Switzerland",7,3,4,5,"Poland",4,4,0,5,"England",5,4,1,6
"122","France",6,4,2,6,"Iceland",4,4,0,4,"Russia",9,4,5,6,"Spain",6,4,2,4,"Portugal",7,2,5,7,"Uruguay",8,5,3,6,"Argentina",6,3,3,9,"Peru",8,4,4,6,"Switzerland",7,5,2,6,"Germany",7,5,2,4,"England",5,4,1,5,"Poland",4,6,-2,6,"Mexico",6,5,1,9,"Brazil",4,5,-1,4,"Colombia",7,5,2,9,"Tunisia",5,6,-1,4
"123","Denmark",8,3,5,7,"Croatia",3,2,1,5,"Russia",5,2,3,7,"Spain",5,2,3,6,"Portugal",5,0,5,9,"Uruguay",5,5,0,4,"Argentina",6,2,4,7,"Peru",7,6,1,6,"Brazil",7,1,6,7,"Germany",5,2,3,6,"Belgium",8,5,3,7,"Senegal",3,4,-1,3,"Mexico",4,3,1,7,"Serbia",1,4,-3,4,"Poland",4,3,1,5,"England",9,5,4,6
"124","Denmark",6,4,2,6,"Argentina",7,3,4,6,"Uruguay",9,3,6,7,"Portugal",5,3,2,5,"Spain",7,5,2,7,"Egypt",8,4,4,7,"Argentina",8,2,6,9,"Peru",8,6,2,6,"Brazil",7,3,4,9,"Sweden",5,6,-1,4,"Belgium",5,3,2,7,"Senegal",5,6,-1,6,"Germany",7,5,2,5,"Switzerland",4,5,-1,4,"Poland",6,5,1,9,"England",4,3,1,5
"125","France",8,4,4,7,"Nigeria",3,3,0,6,"Russia",11,4,7,6,"Spain",5,4,1,6,"Portugal",5,3,2,7,"Uruguay",10,6,4,6,"Argentina",8,1,7,7,"Denmark",4,6,-2,4,"Switzerland",7,3,4,9,"Sweden",6,5,1,6,"Belgium",9,3,6,7,"Poland",3,6,-3,5,"Germany",9,3,6,9,"Brazil",6,5,1,6,"Japan",6,4,2,7,"Panama",3,6,-3,4
"126","France",6,3,3,9,"Argentina",6,3,3,6,"Russia",7,1,6,7,"Spain",5,3,2,4,"Portugal",6,1,5,9,"Uruguay",4,3,1,5,"Croatia",6,2,4,9,"Denmark",3,3,0,4,"Switzerland",12,6,6,9,"Mexico",5,5,0,5,"Belgium",8,2,6,7,"Senegal",5,10,-5,4,"Germany",7,3,4,5,"Brazil",8,5,3,6,"Poland",8,7,1,9,"England",4,2,2,5
"127","France",9,3,6,9,"Croatia",5,4,1,6,"Uruguay",8,1,7,7,"Portugal",7,4,3,6,"Spain",7,2,5,9,"Egypt",7,3,4,7,"Argentina",6,4,2,7,"Denmark",6,4,2,4,"Brazil",5,3,2,6,"Mexico",6,5,1,7,"Belgium",7,3,4,7,"Colombia",2,3,-1,5,"Germany",9,2,7,7,"Switzerland",6,5,1,4,"Poland",3,4,-1,7,"England",3,4,-1,4
"128","France",8,4,4,7,"Argentina",6,5,1,6,"Egypt",10,2,8,9,"Spain",6,4,2,6,"Portugal",6,2,4,9,"Uruguay",5,3,2,4,"Croatia",6,2,4,7,"Denmark",6,3,3,7,"Brazil",9,3,6,6,"Mexico",3,4,-1,4,"Belgium",7,4,3,5,"Colombia",4,4,0,5,"Germany",8,3,5,9,"Switzerland",6,5,1,6,"Poland",4,6,-2,5,"England",4,3,1,5
"129","France",6,2,4,7,"Croatia",5,4,1,6,"Russia",9,3,6,9,"Spain",3,3,0,4,"Portugal",7,3,4,9,"Uruguay",6,4,2,4,"Argentina",8,2,6,9,"Denmark",3,5,-2,4,"Brazil",7,4,3,5,"Sweden",7,5,2,6,"England",6,0,6,7,"Poland",6,4,2,6,"Germany",12,4,8,9,"Serbia",3,5,-2,4,"Colombia",5,1,4,7,"Belgium",3,2,1,5
"130","France",5,4,1,5,"Argentina",5,2,3,4,"Uruguay",9,4,5,9,"Spain",5,5,0,4,"Portugal",5,6,-1,4,"Russia",6,2,4,6,"Croatia",5,1,4,7,"Denmark",5,2,3,5,"Brazil",8,4,4,7,"Mexico",7,8,-1,6,"Belgium",5,2,3,7,"Senegal",8,7,1,7,"Germany",8,3,5,6,"Costa Rica",5,7,-2,4,"Poland",8,5,3,7,"England",5,4,1,6
"131","France",7,3,4,7,"Croatia",2,1,1,5,"Uruguay",8,4,4,7,"Portugal",5,2,3,6,"Spain",6,2,4,9,"Russia",4,4,0,6,"Argentina",7,1,6,7,"Denmark",5,4,1,5,"Switzerland",7,4,3,7,"Mexico",7,7,0,4,"England",7,2,5,9,"Poland",9,4,5,4,"Germany",7,2,5,9,"Brazil",7,4,3,6,"Senegal",7,4,3,7,"Belgium",7,3,4,6
"132","Denmark",8,5,3,7,"Croatia",7,6,1,5,"Uruguay",7,3,4,9,"Portugal",7,5,2,6,"Spain",6,3,3,7,"Russia",9,3,6,6,"Argentina",9,3,6,6,"France",7,5,2,6,"Brazil",10,6,4,9,"Mexico",5,6,-1,4,"England",8,3,5,9,"Poland",5,3,2,6,"Germany",9,4,5,9,"Switzerland",6,4,2,6,"Colombia",5,4,1,7,"England",6,4,2,6
"133","Denmark",11,5,6,9,"Nigeria",5,3,2,6,"Russia",8,3,5,9,"Iran",6,5,1,6,"Spain",8,4,4,9,"Egypt",6,4,2,6,"Argentina",7,2,5,9,"Peru",7,5,2,6,"Costa Rica",7,4,3,7,"Mexico",4,6,-2,4,"Belgium",8,2,6,7,"Colombia",7,4,3,5,"Germany",7,1,6,7,"Brazil",7,5,2,5,"Poland",5,3,2,7,"England",5,4,1,5
"134","France",5,3,2,7,"Croatia",5,3,2,4,"Uruguay",8,2,6,7,"Portugal",9,2,7,6,"Spain",4,1,3,9,"Russia",7,2,5,6,"Argentina",7,3,4,7,"Peru",3,3,0,4,"Brazil",6,3,3,7,"Sweden",4,5,-1,6,"Belgium",6,2,4,7,"Senegal",7,6,1,6,"Germany",10,3,7,6,"Switzerland",9,6,3,7,"Poland",6,6,0,7,"England",4,4,0,4
"135","Denmark",8,3,5,9,"Argentina",5,3,2,6,"Russia",5,2,5,7,"Spain",8,5,3,6,"Portugal",7,3,4,9,"Uruguay",6,3,3,5,"Croatia",7,2,5,7,"Australia",4,7,-3,2,"Switzerland",6,3,3,9,"Sweden",5,5,0,4,"Belgium",8,4,4,7,"Poland",5,5,0,6,"Germany",7,4,3,7,"Brazil",8,4,4,6,"Colombia",4,3,1,9,"England",7,4,3,7
"136","France",10,3,7,9,"Croatia",5,6,-1,6,"Russia",5,1,4,7,"Portugal",5,6,-1,6,"Spain",9,1,8,9,"Uruguay",4,4,0,4,"Argentina",10,2,8,9,"Peru",7,5,2,4,"Brazil",7,3,4,7,"Germany",8,4,4,5,"England",9,4,5,9,"Senegal",4,6,-2,3,"Sweden",8,4,4,7,"Switzerland",4,2,2,7,"Poland",4,5,-1,9,"Belgium",7,5,2,6
"137","Denmark",8,4,4,7,"Croatia",5,2,3,6,"Russia",6,1,5,9,"Spain",6,2,4,6,"Portugal",6,4,2,6,"Uruguay",4,2,2,6,"Argentina",9,1,8,9,"Peru",8,4,4,7,"Switzerland",6,2,4,9,"Sweden",7,9,-2,4,"Belgium",9,4,5,9,"Poland",5,2,3,4,"Germany",12,3,9,9,"Brazil",5,5,0,3,"Colombia",8,4,4,9,"England",7,6,1,6
"138","France",7,2,5,9,"Croatia",6,5,1,5,"Uruguay",6,4,2,7,"Spain",4,5,-1,6,"Portugal",10,1,9,9,"Russia",8,3,5,6,"Argentina",8,4,4,7,"Denmark",8,5,3,6,"Brazil",9,3,6,9,"Germany",6,5,1,4,"Belgium",7,3,4,7,"Poland",5,5,0,6,"Mexico",5,7,-2,6,"Serbia",5,6,-1,4,"Colombia",7,4,3,9,"England",6,3,3,7
"139","France",7,4,3,6,"Argentina",5,5,0,4,"Uruguay",8,3,5,9,"Morocco",5,4,1,6,"Portugal",6,2,4,9,"Russia",6,3,3,6,"Croatia",6,5,1,6,"Denmark",8,4,4,6,"Brazil",6,4,2,7,"Mexico",5,6,-1,4,"Belgium",7,1,6,9,"Senegal",4,7,-3,4,"Germany",9,3,6,9,"Switzerland",4,4,0,4,"Poland",6,4,2,9,"England",4,5,-1,4
"140","France",7,2,5,7,"Nigeria",2,1,1,4,"Russia",7,3,4,6,"Spain",7,3,4,6,"Portugal",9,1,8,9,"Uruguay",6,4,2,6,"Argentina",4,2,2,7,"Denmark",6,4,2,5,"Switzerland",7,3,4,7,"Germany",10,4,6,6,"Belgium",7,3,4,7,"Colombia",5,3,2,5,"Mexico",7,6,1,7,"Brazil",4,3,1,4,"Poland",7,4,3,5,"England",6,4,2,6
"141","Denmark",6,5,1,5,"Nigeria",2,4,-2,4,"Russia",6,1,5,9,"Morocco",5,5,0,3,"Spain",6,3,3,7,"Uruguay",7,6,1,4,"Argentina",8,3,5,6,"Australia",5,5,0,4,"Brazil",8,2,6,9,"Mexico",6,3,3,6,"England",4,2,2,7,"Senegal",2,6,-4,4,"Germany",7,2,5,9,"Costa Rica",4,4,0,6,"Poland",5,5,0,9,"Belgium",8,3,5,6
"142","Australia",4,5,-1,6,"Nigeria",4,5,-1,4,"Uruguay",9,1,8,9,"Portugal",4,3,1,5,"Spain",5,3,2,7,"Russia",8,4,4,6,"Argentina",6,3,3,7,"France",4,2,2,6,"Brazil",7,4,3,6,"Sweden",6,6,0,4,"England",7,1,6,9,"Japan",4,4,0,4,"Germany",9,4,5,9,"Switzerland",6,4,2,6,"Poland",4,6,-2,7,"Belgium",6,4,2,6
"143","France",10,3,7,9,"Iceland",3,2,1,6,"Uruguay",7,2,5,7,"Morocco",7,6,1,6,"Portugal",6,2,4,7,"Russia",5,3,2,6,"Argentina",8,5,3,7,"Denmark",6,6,0,6,"Brazil",9,3,6,9,"Mexico",6,9,-3,4,"England",6,2,4,7,"Poland",7,3,4,6,"Germany",11,4,7,9,"Serbia",5,5,0,4,"Colombia",11,4,7,9,"Tunisia",4,4,0,6
"144","France",9,3,6,9,"Argentina",6,4,2,4,"Uruguay",8,2,6,7,"Iran",4,5,-1,4,"Portugal",9,2,7,9,"Russia",7,3,4,6,"Nigeria",4,5,-1,6,"Peru",7,6,1,6,"Brazil",8,3,5,6,"Germany",7,5,2,4,"Belgium",5,2,3,7,"Poland",5,6,-1,6,"Mexico",5,6,-1,6,"Switzerland",5,5,0,6,"Colombia",9,5,4,9,"England",3,3,0,4
"145","France",5,2,3,9,"Nigeria",5,3,2,6,"Russia",12,4,8,9,"Spain",6,3,3,6,"Portugal",6,2,4,9,"Uruguay",9,6,3,4,"Argentina",8,3,5,9,"Peru",5,2,3,6,"Brazil",8,5,3,7,"Mexico",7,4,3,7,"Belgium",9,3,6,7,"Poland",6,7,-1,6,"Germany",9,2,7,7,"Switzerland",6,2,4,7,"Colombia",6,4,2,9,"England",6,3,3,7
"146","France",9,2,7,9,"Croatia",5,4,1,5,"Uruguay",8,2,6,7,"Portugal",8,4,4,6,"Spain",8,4,4,9,"Egypt",5,4,1,5,"Argentina",6,3,3,5,"Denmark",5,9,-4,3,"Brazil",9,4,5,6,"Mexico",6,3,3,5,"Belgium",8,3,5,7,"Senegal",6,5,1,4,"Germany",7,4,3,7,"Switzerland",6,5,1,6,"Poland",5,5,0,7,"England",6,4,2,5
"147","France",6,4,2,7,"Iceland",3,3,0,4,"Egypt",3,1,2,7,"Spain",4,3,1,6,"Portugal",7,2,5,6,"Uruguay",5,4,1,4,"Argentina",10,3,7,9,"Denmark",4,3,1,5,"Switzerland",5,4,1,5,"Mexico",9,7,2,7,"England",5,3,2,7,"Colombia",6,3,3,5,"Germany",9,4,5,7,"Serbia",6,4,2,5,"Poland",6,5,1,5,"Belgium",7,2,5,6
"148","France",6,4,2,7,"Croatia",7,4,3,4,"Uruguay",11,2,9,9,"Portugal",7,5,2,6,"Spain",7,2,5,9,"Russia",4,6,-2,3,"Argentina",7,4,3,7,"Denmark",4,4,0,4,"Brazil",9,3,6,9,"Sweden",8,8,0,4,"Belgium",7,2,5,9,"Colombia",6,7,-1,5,"Germany",8,5,3,4,"Serbia",6,5,1,4,"Poland",8,3,5,7,"England",5,3,2,6
"149","Peru",6,5,1,6,"Croatia",6,3,3,6,"Uruguay",7,2,5,9,"Iran",2,4,-2,4,"Spain",5,3,2,7,"Egypt",5,6,-1,3,"Argentina",9,2,7,9,"France",6,5,1,4,"Brazil",7,4,3,6,"Germany",6,7,-1,4,"England",6,3,3,7,"Poland",6,7,-1,4,"Mexico",7,5,2,9,"Switzerland",4,4,0,4,"Colombia",7,3,4,9,"Belgium",5,3,2,4
"150","France",9,5,4,9,"Croatia",4,3,1,4,"Uruguay",9,3,6,7,"Portugal",4,4,0,4,"Spain",9,3,6,9,"Russia",5,3,2,6,"Argentina",6,3,3,5,"Denmark",8,7,1,4,"Brazil",6,4,2,5,"Sweden",8,6,2,6,"England",5,2,3,7,"Colombia",4,5,-1,5,"Germany",7,4,3,6,"Switzerland",6,4,2,5,"Poland",7,4,3,5,"Belgium",6,4,2,6
"151","France",7,4,3,7,"Argentina",7,4,3,6,"Russia",8,2,6,7,"Portugal",7,6,1,6,"Spain",9,4,5,9,"Uruguay",5,2,3,7,"Argentina",5,2,3,7,"Denmark",5,6,-1,4,"Brazil",8,5,3,7,"Sweden",6,4,2,5,"Belgium",6,2,4,7,"Colombia",7,5,2,5,"Germany",7,4,3,5,"Switzerland",6,5,1,6,"Poland",6,5,1,7,"England",7,3,4,7
"152","France",10,0,10,9,"Iceland",5,4,1,5,"Uruguay",10,0,10,9,"Portugal",9,6,3,6,"Spain",7,4,3,7,"Egypt",3,4,-1,4,"Argentina",6,5,1,5,"Peru",6,3,3,6,"Brazil",8,5,3,7,"Mexico",5,6,-1,4,"England",6,2,4,6,"Poland",4,8,-4,6,"Germany",7,4,3,7,"Switzerland",7,5,2,5,"Colombia",6,4,2,9,"Belgium",5,3,2,6
"153","France",7,4,3,9,"Argentina",5,3,2,6,"Russia",8,2,6,9,"Morocco",6,4,2,5,"Spain",6,2,4,7,"Uruguay",6,5,1,3,"Argentina",7,2,5,9,"Denmark",6,5,1,6,"Brazil",9,2,7,9,"Mexico",6,5,1,5,"Belgium",6,3,3,6,"Colombia",6,4,2,5,"Germany",8,2,6,7,"Costa Rica",8,4,4,6,"Poland",7,5,2,7,"England",5,4,1,6
